,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
149,2024-01-17 01:00:00,68.12,68.13,68.13,68.115,27802.0,1705424400,1.0,,,,,,,,,,10.313895741543078,0.1323882254236004,0.1364285714285722,13.64089375310094,-75.69178441583354,1,0,50068.03999999999,68.12:733.0;,68.12:733.0;,,0.0,68.12;
152,2024-01-17 01:03:00,68.09,68.065,68.09,68.055,84368.0,1705424580,,,,,,,,,,,4.818414346400431,0.1323882254236004,0.1364285714285722,13.64089375310094,-75.28637659411407,0,0,99978.01,,,68.09:733.0;,-21.990000000000833,
383,2024-02-29 04:54:00,72.895,72.86,72.895,72.86,66851.0,1709153640,,,,,,,1.0,,,,24.465849867422374,10.694411208277389,0.0900714285714302,-11.467719382111696,-55.972849676499465,1,0,50044.935,72.895:685.0;,72.895:685.0;,,0.0,72.895;
384,2024-02-29 04:55:00,72.865,72.91,72.91,72.865,105413.0,1709153700,,,,,,,,,,,24.31759204764255,10.386349900282482,0.0997857142857157,-11.467719382111696,-61.81292661417303,0,0,99957.45999999999,,,72.865:685.0;,-20.55000000000078,
371,2024-03-01 04:42:00,72.18,72.19,72.19,72.18,24699.0,1709239320,,,,,1.0,,,,,,1.1424713176239578,8.916400359044289,0.0530714285714282,-33.0821502446765,-74.96275380363302,1,0,50008.89999999999,72.18:692.0;,72.18:692.0;,,0.0,72.18;
381,2024-03-01 04:52:00,72.29,72.295,72.31,72.285,55542.0,1709239920,,,,,,,,,,,43.971316539743256,11.334694848281934,0.0616428571428571,-33.0821502446765,84.55300647025423,0,0,100033.57999999999,,,72.29:692.0;,76.1199999999996,
313,2024-03-15 02:44:00,71.955,71.94,71.957,71.94,15818.0,1710441840,,,,,,,1.0,,,,0.6153624483887654,13.929044754126624,0.0742142857142858,-3.364420102343871,-76.71639501654998,1,0,50024.85499999999,71.955:695.0;,71.955:695.0;,,0.0,71.955;
314,2024-03-15 02:45:00,71.935,71.94,71.95,71.935,8111.0,1710441900,,,,,,,,,,,-3.288607524230315,11.839567630700412,0.0745714285714283,-3.364420102343871,-77.24877432070498,0,0,100019.68,,,71.935:695.0;,-13.899999999997235,
342,2024-03-15 03:13:00,71.715,71.685,71.715,71.67,23389.0,1710443580,,,,,,,,,1.0,,-12.757567708109196,4.4414302780114525,0.0757857142857147,-8.996706426719697,-76.7093974134936,1,0,50034.32499999999,71.715:697.0;,71.715:697.0;,,0.0,71.715;
343,2024-03-15 03:14:00,71.685,71.68,71.705,71.68,34349.0,1710443640,,,,,,,,,,,-12.79683286258038,4.4414302780114525,0.0757857142857147,-8.996706426719697,-76.70545059936727,0,0,99998.76999999999,,,71.685:697.0;,-20.910000000000792,
100,2024-03-25 23:11:00,69.89,69.895,69.895,69.885,17646.0,1711379460,1.0,,,,,,,,,,0.4063867820556872,-6.7239486101678025,0.0901428571428561,-25.777293494779,-73.23778993202367,1,0,50027.41999999999,69.89:715.0;,69.89:715.0;,,0.0,69.89;
102,2024-03-25 23:13:00,69.883,69.9,69.9,69.883,53229.0,1711379580,,,,,,,,,,,1.6634849563801062,-6.7239486101678025,0.0901428571428561,-25.777293494779,-59.47552331776737,0,0,99993.76499999998,,,69.883:715.0;,-5.005000000003577,
260,2024-04-09 01:51:00,70.035,70.02,70.035,70.02,18130.0,1712598660,1.0,,,,,,,,,,-2.6972518940682164,-8.196773126466184,0.0498571428571444,9.194398611959812,-75.14700450432846,1,0,50058.80999999999,70.035:713.0;,70.035:713.0;,,0.0,70.035;
261,2024-04-09 01:52:00,70.025,70.022,70.025,70.02,25574.0,1712598720,,,,,,,,,,,-3.904591128478181,-8.196773126466184,0.0498571428571444,9.194398611959812,-76.69663013994993,0,0,99986.635,,,70.025:713.0;,-7.129999999993515,
322,2024-04-13 02:53:00,69.985,69.965,69.985,69.965,25440.0,1712947980,,,,,1.0,,1.0,,1.0,,-17.287913282516136,4.951961088772467,0.0767857142857165,1.732464850326295,-74.91320580308562,1,0,50017.344999999994,69.985:714.0;,69.985:714.0;,,0.0,69.985;
323,2024-04-13 02:54:00,69.975,69.99,69.997,69.975,26639.0,1712948040,,,,,,,,,,,-14.825799199447026,4.951961088772467,0.0767857142857165,1.732464850326295,-73.12269312110467,0,0,99979.495,,,69.975:714.0;,-7.140000000003653,
14,2024-04-15 21:45:00,69.345,69.52,69.52,69.345,95683.0,1713188700,1.0,,,,,,,,,,1.7145755071219997,9.608579892372024,0.192071428571427,-12.612392514279136,-76.16597285833134,1,0,50051.094999999994,69.345:720.0;,69.345:720.0;,,0.0,69.345;
17,2024-04-15 21:48:00,69.57,69.56,69.63,69.56,65385.0,1713188880,,,,,,,,,,,7.271016517382748,9.608579892372024,0.192071428571427,-12.612392514279136,41.788139750992016,0,0,100141.495,,,69.57:720.0;,161.9999999999959,
242,2024-04-16 01:33:00,68.795,68.795,68.795,68.78,53556.0,1713202380,,,,,1.0,,,,1.0,,-0.6551581664462134,-1.1499080671590889,0.0877857142857162,-23.39626604684277,-75.437601034807,1,0,50196.325,68.795:726.0;,68.795:726.0;,,0.0,68.795;
247,2024-04-16 01:38:00,68.855,68.86,68.87,68.835,35569.0,1713202680,,,,,,,,,,,8.592825657796894,-0.9629314645890048,0.0870714285714301,-23.39626604684277,71.88454163963752,0,0,100185.055,,,68.855:726.0;,43.56000000000165,
336,2024-04-16 03:07:00,68.565,68.55,68.565,68.55,14940.0,1713208020,,,,,,,1.0,,,,10.524688953391866,-1.3447556551434126,0.0873571428571427,-25.11427893704537,-74.60690875588816,1,0,50201.17,68.565:729.0;,68.565:729.0;,,0.0,68.565;
338,2024-04-16 03:09:00,68.545,68.545,68.558,68.535,20278.0,1713208140,,,,,,,,,,,6.007748977843718,-1.3447556551434126,0.0873571428571427,-25.11427893704537,-75.54227399832317,0,0,100170.475,,,68.545:729.0;,-14.5799999999971,
236,2024-04-19 01:27:00,67.295,67.295,67.3,67.295,35697.0,1713461220,1.0,,,,,,,,,,6.448431835664419,18.225120293217444,0.0662857142857161,15.29305197744539,-17.479137344864714,1,0,50102.995,67.295:744.0;,67.295:744.0;,,0.0,67.295;
238,2024-04-19 01:29:00,67.28,67.29,67.29,67.275,37560.0,1713461340,,,,,,,,,,,6.227740833856934,18.225120293217444,0.0662857142857161,15.29305197744539,-50.57850337988975,0,0,100159.315,,,67.28:744.0;,-11.160000000000423,
79,2024-05-22 22:50:00,81.95,81.93,81.98,81.93,46914.0,1716389400,,,,,1.0,,,,1.0,,-6.290301750756811,0.6558186397015646,0.2670714285714299,3.2815907151813235,-76.38118030567534,1,0,50087.865,81.95:611.0;,81.95:611.0;,,0.0,81.95;
84,2024-05-22 22:55:00,81.96,81.86,81.98,81.86,69208.0,1716389700,,,,,,,,,,,1.837191175345588,-2.471860241069649,0.239928571428572,3.2815907151813235,56.96446640129179,0,0,100165.42499999999,,,81.96:611.0;,6.109999999994443,
213,2024-05-23 01:04:00,81.695,81.69,81.695,81.61,57129.0,1716397440,,,,,,,1.0,,,,1.0354071226747976,0.067009875336474,0.1506428571428577,-17.65808032020321,-74.03587853782949,1,0,50168.08499999999,81.695:612.0;,81.695:612.0;,,0.0,81.695;
215,2024-05-23 01:06:00,81.622,81.66,81.684,81.59,43570.0,1716397560,,,,,,,,,,,-0.3446676430432376,-1.319868380453073,0.1470714285714283,-17.65808032020321,-74.20437981705327,0,0,100120.74899999998,,,81.622:612.0;,-44.675999999995895,
384,2024-05-23 03:55:00,81.169,81.225,81.225,81.155,109264.0,1716407700,,,,,1.0,,,,,,4.689261472502309,7.123873905519897,0.1084999999999993,-27.0218852961108,-74.66576307023067,1,0,50120.64499999998,81.169:616.0;,81.169:616.0;,,0.0,81.169;
386,2024-05-23 03:57:00,81.18,81.155,81.21,81.155,136744.0,1716407820,,,,,,,,,,,3.9539902242626255,7.123873905519897,0.1084999999999993,-27.0218852961108,-66.74672734708479,0,0,100127.525,,,81.18:616.0;,6.776000000006093,
