,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
149,2024-01-17 01:00:00,68.12,68.13,68.13,68.115,27802.0,1939200.0,1705424400,1.0,,,,,,,,,,10.313895741543078,0.1323882254236004,0.1364285714285722,13.64089375310094,-75.69178441583354,1,0,50068.03999999999,68.12:733.0;,68.12:733.0;,,0.0,68.12;
153,2024-01-17 01:04:00,68.065,68.065,68.065,68.04,68592.0,4780544.0,1705424640,,,,,,,,,,,3.6539554777827306,0.1323882254236004,0.1364285714285722,13.64089375310094,-76.18409092353484,0,0,99959.685,,,68.065:733.0;,-40.315000000005,
383,2024-02-29 04:54:00,72.895,72.86,72.895,72.86,66851.0,4980224.0,1709153640,,,,,,,1.0,,,,24.465849867422374,10.694411208277389,0.0900714285714302,-11.467719382111696,-55.972849676499465,1,0,50026.61,72.895:685.0;,72.895:685.0;,,0.0,72.895;
386,2024-02-29 04:57:00,72.925,72.935,72.94,72.92,59204.0,4416256.0,1709153820,,,,,,,,,,,26.63265157228203,10.386349900282482,0.0997857142857157,-11.467719382111696,-25.439742117828693,0,0,99980.235,,,72.925:685.0;,20.55000000000078,
313,2024-03-15 02:44:00,71.955,71.94,71.957,71.94,15818.0,1163840.0,1710441840,,,,,,,1.0,,,,0.6153624483887654,13.929044754126624,0.0742142857142858,-3.364420102343871,-76.71639501654998,1,0,50043.465000000004,71.955:694.0;,71.955:694.0;,,0.0,71.955;
320,2024-03-15 02:51:00,71.935,71.905,71.935,71.905,29327.0,2157376.0,1710442260,,,,,,,,,,,-9.778279591400748,9.997372222082063,0.0752857142857144,-3.364420102343871,-73.91615660955831,0,0,99966.35500000001,,,71.935:694.0;,-13.879999999997239,
342,2024-03-15 03:13:00,71.715,71.685,71.715,71.67,23389.0,1716160.0,1710443580,,,,,,,,,1.0,,-12.757567708109196,4.4414302780114525,0.0757857142857147,-8.996706426719697,-76.7093974134936,1,0,49981.00000000001,71.715:697.0;,71.715:697.0;,,0.0,71.715;
353,2024-03-15 03:24:00,71.78,71.785,71.79,71.78,19067.0,1399872.0,1710444240,,,,,,,,,,,14.251641780401194,5.631159150059624,0.0776428571428573,-8.996706426719697,71.01787015648519,0,0,100011.66,,,71.78:697.0;,45.304999999998415,
100,2024-03-25 23:11:00,69.89,69.895,69.895,69.885,17646.0,1262112.0,1711379460,1.0,,,,,,,,,,0.4063867820556872,-6.7239486101678025,0.0901428571428561,-25.777293494779,-73.23778993202367,1,0,50040.310000000005,69.89:715.0;,69.89:715.0;,,0.0,69.89;
112,2024-03-25 23:23:00,69.86,69.862,69.877,69.855,46830.0,3347840.0,1711380180,,,,,,,,,,,3.1729957363271453,-8.383065032280854,0.0789285714285707,-25.777293494779,-5.28603463454947,0,0,99990.21,,,69.86:715.0;,-21.450000000000813,
260,2024-04-09 01:51:00,70.035,70.02,70.035,70.02,18130.0,1299232.0,1712598660,1.0,,,,,,,,,,-2.6972518940682164,-8.196773126466184,0.0498571428571444,9.194398611959812,-75.14700450432846,1,0,50055.25500000001,70.035:713.0;,70.035:713.0;,,0.0,70.035;
270,2024-04-09 02:01:00,69.98,69.96,69.98,69.96,20100.0,1439424.0,1712599260,,,,,,,,,,,-6.107765689182784,-13.762503182616996,0.0496428571428586,6.600152599162598,-73.78933170168712,0,0,99950.99500000002,,,69.98:713.0;,-39.21499999999473,
322,2024-04-13 02:53:00,69.985,69.965,69.985,69.965,25440.0,1821952.0,1712947980,,,,,1.0,,1.0,,1.0,,-17.287913282516136,4.951961088772467,0.0767857142857165,1.732464850326295,-74.91320580308562,1,0,49981.70500000002,69.985:714.0;,69.985:714.0;,,0.0,69.985;
328,2024-04-13 02:59:00,69.96,69.95,69.965,69.938,48774.0,3491968.0,1712948340,,,,,,,,,,,-6.621990430229168,4.73552722852083,0.0751428571428586,1.732464850326295,-36.8222873504391,0,0,99933.14500000002,,,69.96:714.0;,-17.85000000000406,
