,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
36,2024-01-03 23:07:00,239.745,239.43,239.98,239.43,479878.0,1704294420,,,,,,,1.0,,,,-7.432368491788207,-8.239620615296467,1.3991428571428568,19.93908593761357,-69.2601185672658,1,0,50133.04,239.745:208.0;,239.745:208.0;,,0.0,239.745;
40,2024-01-03 23:11:00,238.03,237.471,238.03,237.363,1041526.0,1704294660,,,,,,,,,,,-8.621623218098676,-10.02541021853184,1.4867857142857122,19.93908593761357,-74.99308371943559,0,0,99643.28,,,238.03:208.0;,-356.7200000000007,
38,2024-01-11 23:09:00,226.859,226.67,226.859,226.58,303134.0,1704985740,,,,,,,,,1.0,,-2.439674186817492,14.216180265267084,1.336500000000001,19.006600347606277,-76.50540549360852,1,0,49961.159,226.859:219.0;,226.859:219.0;,,0.0,226.859;
74,2024-01-11 23:45:00,226.69,226.94,226.975,226.69,282824.0,1704987900,,,,,,,,,,,46.56024408752471,-5.335238493729335,1.0816428571428571,17.22859318169833,-56.15863115237333,0,0,99606.269,,,226.69:219.0;,-37.01100000000244,
98,2024-01-13 00:09:00,220.87,221.155,221.169,220.87,323788.0,1705075740,,,,,,,,,1.0,,14.142387592360812,14.810658766981106,0.8492142857142844,11.990600059003564,-72.30345125078998,1,0,49910.519,220.87:225.0;,220.87:225.0;,,0.0,220.87;
123,2024-01-13 00:34:00,220.95,221.08,221.08,220.91,346748.0,1705077240,,,,,,,,,,,93.93272517373144,10.354299943585346,0.6787857142857153,11.5300691648517,68.08718472496295,0,0,99624.269,,,220.95:225.0;,17.99999999999642,
132,2024-01-13 00:43:00,219.64,219.467,219.64,219.4,279028.0,1705077780,,,,,,,1.0,,,,27.90543000557288,4.796273248323303,0.7757142857142867,11.5300691648517,-71.85607855417715,1,0,49985.629,219.64:226.0;,219.64:226.0;,,0.0,219.64;
141,2024-01-13 00:52:00,218.835,219.1,219.141,218.785,382208.0,1705078320,,,,,,,,,,,0.2188492937056736,-1.6257265725718495,0.7665000000000016,11.5300691648517,-76.37531906153653,0,0,99442.339,,,218.835:226.0;,-181.92999999999512,
149,2024-01-13 01:00:00,218.26,218.25,218.27,218.161,299200.0,1705078800,,,,,1.0,,,,,,-9.781027399799434,-6.593276377637039,0.7433571428571436,9.58732625417364,-73.89155800499722,1,0,49679.05900000001,218.26:228.0;,218.26:228.0;,,0.0,218.26;
159,2024-01-13 01:10:00,217.47,217.614,217.636,217.47,369384.0,1705079400,,,,,,,,,,,-8.533356187985135,-10.683997060734027,0.7747142857142839,9.58732625417364,-71.27112625746595,0,0,99262.21900000001,,,217.47:228.0;,-180.11999999999819,
138,2024-01-20 00:49:00,207.93,207.92,207.947,207.82,214736.0,1705682940,,,,,,,1.0,,1.0,,12.754613695268231,10.85418763736807,0.7487142857142837,15.436557843012444,-75.87328252669396,1,0,49774.87900000001,207.93:238.0;,207.93:238.0;,,0.0,207.93;
196,2024-01-20 01:47:00,209.3,209.268,209.3,209.268,192256.0,1705686420,,,,,,,,,,,93.1907473638185,18.697984117687227,0.5094285714285759,13.919950005112184,39.08338787146575,0,0,99588.27900000001,,,209.3:238.0;,326.0600000000011,
