,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
281,2024-01-03 03:12:00,184.185,184.105,184.2,184.105,190704.0,1704222720,,,,,,,,,1.0,,4.960337517913651,-2.091781170653846,0.2092857142857188,-10.795811519854766,-72.7647941633205,1,0,50085.865,184.185:271.0;,184.185:271.0;,,0.0,184.185;
293,2024-01-03 03:24:00,183.84,183.95,183.95,183.84,138388.0,1704223440,,,,,,,,,,,0.4772156923869737,-3.884327736785728,0.2001428571428627,-10.795811519854766,-75.98831747093277,0,0,99906.505,,,183.84:271.0;,-93.49499999999969,
299,2024-01-03 03:30:00,183.86,184.005,184.005,183.86,176824.0,1704223800,,,,,,,1.0,,,,2.4644118332573264,-4.037489045183662,0.2135000000000043,-13.50596374964158,-51.90653752226541,1,0,50080.445,183.86:271.0;,183.86:271.0;,,0.0,183.86;
324,2024-01-03 03:55:00,183.701,183.65,183.701,183.65,194384.0,1704225300,,,,,,,,,,,37.37135897064057,-2.7112378706503364,0.2305714285714312,-13.50596374964158,-44.727152471115794,0,0,99863.416,,,183.701:271.0;,-43.089000000005484,
20,2024-01-29 22:51:00,189.638,189.93,189.93,189.638,379397.0,1706539860,1.0,,,,,,,,,,2.261646570733028,-0.8015455816718671,0.4054285714285726,-12.60867665262839,-72.19837872742255,1,0,49988.621999999996,189.638:263.0;,189.638:263.0;,,0.0,189.638;
90,2024-01-30 00:01:00,190.095,190.0,190.095,190.0,101388.0,1706544060,,,,,,,,,,,19.14754735108062,37.34650011075284,0.3569999999999972,-14.494586693255997,23.37756600413841,0,0,99983.60699999999,,,190.095:263.0;,120.19099999999833,
279,2024-01-31 03:10:00,187.21,187.095,187.24,187.095,105724.0,1706641800,,,,,1.0,,1.0,,,,-20.034790313622125,-1.5836967186630275,0.2144285714285721,7.643299991694384,-75.52727040559336,1,0,49998.53699999999,187.21:267.0;,187.21:267.0;,,0.0,187.21;
349,2024-01-31 04:20:00,187.405,187.395,187.405,187.38,112728.0,1706646000,,,,,,,,,,,36.77671494084666,34.28166905990077,0.1987857142857174,5.675965202532005,4.497440239571603,0,0,100035.67199999999,,,187.405:267.0;,52.06499999999818,
337,2024-02-13 04:08:00,186.612,186.65,186.68,186.612,40488.0,1707768480,1.0,,,,1.0,,,,,,-0.9798883209255536,6.785919375396965,0.1644999999999978,10.182809237326396,-58.16471543063449,1,0,50023.655999999995,186.612:268.0;,186.612:268.0;,,0.0,186.612;
385,2024-02-13 04:56:00,186.9,186.698,186.916,186.698,327750.0,1707771360,,,,,,,,,,,97.97937814989142,14.868232159326569,0.140357142857141,6.86239028465198,78.4237249715945,0,0,100112.856,,,186.9:268.0;,77.18400000000292,
7,2024-02-13 22:38:00,184.38,184.52,184.56,184.38,294513.0,1707835080,1.0,,,,,,,,,,7.262916510231179,13.99332350513837,0.343285714285709,0.65481207615953,-76.34221532719961,1,0,50145.876000000004,184.38:271.0;,184.38:271.0;,,0.0,184.38;
108,2024-02-14 00:19:00,185.334,185.305,185.34,185.305,54364.0,1707841140,,,,,,,,,,,37.31791438080597,43.272089683832206,0.2721428571428512,0.2273993497203434,-19.140161966092165,0,0,100371.39000000001,,,185.334:271.0;,258.5340000000021,
86,2024-02-14 23:57:00,183.135,183.03,183.135,183.02,111029.0,1707926220,1.0,,,,,,,,,,16.589547061492922,9.286304257946298,0.3517142857142862,8.64081395172456,-70.44436154316004,1,0,50192.400000000016,183.135:274.0;,183.135:274.0;,,0.0,183.135;
147,2024-02-15 00:58:00,182.81,182.77,182.83,182.77,152650.0,1707929880,,,,,,,,,,,31.40580974969899,9.19999755635864,0.2859999999999973,5.804756529141528,-49.85432472026167,0,0,100282.34000000003,,,182.81:274.0;,-89.04999999999688,
62,2024-03-05 23:33:00,169.67,169.61,169.67,169.47,325418.0,1709652780,1.0,,,,,,,,,,10.262505645127472,7.43774736906181,0.7860714285714323,8.201669735361186,-73.9005046707577,1,0,50229.69000000003,169.67:295.0;,169.67:295.0;,,0.0,169.67;
116,2024-03-06 00:27:00,170.035,170.025,170.12,170.005,115920.0,1709656020,,,,,,,,,,,86.95897855554884,-5.205669404652227,0.2791428571428542,7.363722818066261,63.71658271072857,0,0,100390.01500000003,,,170.035:295.0;,107.67500000000268,
22,2024-03-06 22:53:00,168.97,169.2,169.2,168.97,218801.0,1709736780,1.0,,,,1.0,,,,,,-11.922413267914171,10.32124091353895,0.3942142857142861,3.467104397970033,-76.87830170077153,1,0,50205.92500000003,168.97:297.0;,168.97:297.0;,,0.0,168.97;
37,2024-03-06 23:08:00,168.76,168.78,168.79,168.75,236044.0,1709737680,,,,,,,,,,,2.966255073470677,12.38227288436748,0.4895714285714295,3.7401599766047,-72.28391898379465,0,0,100327.64500000002,,,168.76:297.0;,-62.37000000000236,
6,2024-03-22 21:37:00,170.62,170.695,170.695,170.565,347179.0,1711114620,1.0,,,,,,,,,,36.43574344165208,13.329423611773532,0.3422142857142916,-11.390425125810252,-68.35181662955529,1,0,50165.36500000002,170.62:294.0;,170.62:294.0;,,0.0,170.62;
12,2024-03-22 21:43:00,169.991,169.99,170.07,169.99,412377.0,1711114980,,,,,,,,,,,2.899459719059521,13.503196604965126,0.35578571428572,-11.390425125810252,-77.39634265593004,0,0,100142.71900000003,,,169.991:294.0;,-184.92599999999726,
54,2024-04-19 22:25:00,164.8,164.73,164.81,164.73,163162.0,1713536700,1.0,,,,,,,,,,-4.52008686831363,7.526491537564716,0.500714285714283,3.876777666845836,-74.60097334819636,1,0,50208.319000000025,164.8:303.0;,164.8:303.0;,,0.0,164.8;
106,2024-04-19 23:17:00,164.935,164.815,164.935,164.79,154992.0,1713539820,,,,,,,,,,,47.46095658619856,12.618670908180237,0.2423571428571429,4.782131087559886,62.89246593254922,0,0,100183.62400000003,,,164.935:303.0;,40.904999999997244,
151,2024-04-20 00:02:00,164.35,164.405,164.415,164.35,85928.0,1713542520,,,,,1.0,,,,,,1.1135594348318918,-0.8761545015851624,0.2265714285714263,3.343465980594296,-69.81053912754577,1,0,50221.224000000024,164.35:304.0;,164.35:304.0;,,0.0,164.35;
165,2024-04-20 00:16:00,164.065,163.975,164.07,163.975,151840.0,1713543360,,,,,,,,,,,14.105399092531542,-1.426663364130203,0.2442142857142844,3.343465980594296,-69.89695665345133,0,0,100096.98400000003,,,164.065:304.0;,-86.63999999999896,
278,2024-05-24 02:09:00,187.47,187.44,187.53,187.44,149116.0,1716487740,,,,,1.0,,,,,,-1.8545470789553955,-0.4162196632256965,0.2508571428571429,-4.228127811322764,-74.48646352015729,1,0,50229.96400000003,187.47:266.0;,187.47:266.0;,,0.0,187.47;
321,2024-05-24 02:52:00,187.3,187.35,187.35,187.295,90158.0,1716490320,,,,,,,,,,,45.50565002638943,2.889109955101276,0.2824999999999927,-8.628051470201314,-67.30062760779023,0,0,100051.76400000002,,,187.3:266.0;,-45.21999999999667,
388,2024-05-24 03:59:00,186.82,186.89,186.89,186.76,377416.0,1716494340,,,,,,,1.0,,1.0,,-5.964120690444432,3.689189092620428,0.2405714285714302,-16.289789556261866,-75.44141355149951,1,0,100051.76400000002,,,,0.0,
83,2024-06-20 22:54:00,210.247,210.4,210.4,210.247,305244.0,1718895240,,,,,1.0,,1.0,,1.0,,-5.256173084100372,3.083553566446227,0.4772142857142845,12.497325512491985,-76.58414464408685,1,0,50223.22500000002,210.247:237.0;,210.247:237.0;,,0.0,210.247;
105,2024-06-20 23:16:00,210.27,210.31,210.33,210.24,116816.0,1718896560,,,,,,,,,,,28.851001833004467,-1.9243227618556489,0.5827857142857137,8.289424795649865,-47.766184628838126,0,0,100057.21500000003,,,210.27:237.0;,5.450999999999084,
389,2024-06-22 04:00:00,208.02,207.49,208.35,207.19,165091840.0,1719000000,,,,,1.0,,,,1.0,,4.02216299154648,15.168980632090223,0.5307142857142882,10.663568736777536,-74.71753900791585,1,0,100057.21500000003,,,,0.0,
74,2024-07-18 22:45:00,225.88,225.92,226.04,225.88,315226.0,1721313900,,,,,,,1.0,,,,8.383603587682117,7.201380180477997,0.7850000000000047,2.4894672636392983,-78.06414142930468,1,0,50137.73500000003,225.88:221.0;,225.88:221.0;,,0.0,225.88;
102,2024-07-18 23:13:00,225.74,225.41,225.74,225.41,225742.0,1721315580,,,,,,,,,,,22.26473013308616,2.2780877847613965,0.7085714285714337,0.0316026974086582,-11.761704604907552,0,0,100026.27500000002,,,225.74:221.0;,-30.939999999996985,
