,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
20,2024-01-29 22:51:00,189.638,189.93,189.93,189.638,379397.0,72166016.0,1706539860,1.0,,,,,,,,,,2.261646570733028,-0.8015455816718671,0.4054285714285726,-12.60867665262839,-72.19837872742255,1,0,50125.206,189.638:263.0;,189.638:263.0;,,0.0,189.638;
34,2024-01-29 23:05:00,190.1,190.046,190.115,190.046,149162.0,28397696.0,1706540700,,,,,,,,,,,35.88484873691658,9.188108032656103,0.4657857142857153,-13.434563012583652,71.99293588379194,0,0,100121.506,,,190.1:263.0;,121.50599999999713,
279,2024-01-31 03:10:00,187.21,187.095,187.24,187.095,105724.0,19832832.0,1706641800,,,,,1.0,,1.0,,,,-20.034790313622125,-1.5836967186630275,0.2144285714285721,7.643299991694384,-75.52727040559336,1,0,50136.435999999994,187.21:267.0;,187.21:267.0;,,0.0,187.21;
281,2024-01-31 03:12:00,187.05,187.162,187.162,187.025,185780.0,34814976.0,1706641920,,,,,,,,,,,-18.73039315242322,-1.5836967186630275,0.2144285714285721,7.643299991694384,-76.25706602685437,0,0,100078.786,,,187.05:267.0;,-42.71999999999909,
337,2024-02-13 04:08:00,186.612,186.65,186.68,186.612,40488.0,7552000.0,1707768480,1.0,,,,1.0,,,,,,-0.9798883209255536,6.785919375396965,0.1644999999999978,10.182809237326396,-58.16471543063449,1,0,50066.77,186.612:268.0;,186.612:268.0;,,0.0,186.612;
355,2024-02-13 04:26:00,186.855,186.925,186.925,186.855,53244.0,9960960.0,1707769560,,,,,,,,,,,69.4712596748554,6.803267345469344,0.1679999999999982,10.182809237326396,79.98586541311887,0,0,100143.91,,,186.855:268.0;,65.12399999999866,
7,2024-02-13 22:38:00,184.38,184.52,184.56,184.38,294513.0,54378112.0,1707835080,1.0,,,,,,,,,,7.262916510231179,13.99332350513837,0.343285714285709,0.65481207615953,-76.34221532719961,1,0,50176.93000000001,184.38:271.0;,184.38:271.0;,,0.0,184.38;
10,2024-02-13 22:41:00,184.243,184.14,184.243,184.14,188050.0,34647936.0,1707835260,,,,,,,,,,,-4.765017956160833,10.8658190642549,0.3714999999999954,0.65481207615953,-76.20404967595533,0,0,100106.783,,,184.243:271.0;,-37.12700000000012,
86,2024-02-14 23:57:00,183.135,183.03,183.135,183.02,111029.0,20373760.0,1707926220,1.0,,,,,,,,,,16.589547061492922,9.286304257946298,0.3517142857142862,8.64081395172456,-70.44436154316004,1,0,50110.928,183.135:273.0;,183.135:273.0;,,0.0,183.135;
90,2024-02-15 00:01:00,182.82,182.742,182.82,182.74,391508.0,71671552.0,1707926460,,,,,,,,,,,8.432670516160485,6.867249683698809,0.3445714285714274,6.376971821369189,-61.51748582876623,0,0,100020.788,,,182.82:273.0;,-85.99499999999938,
62,2024-03-05 23:33:00,169.67,169.61,169.67,169.47,325418.0,54920192.0,1709652780,1.0,,,,,,,,,,10.262505645127472,7.43774736906181,0.7860714285714323,8.201669735361186,-73.9005046707577,1,0,50137.808000000005,169.67:294.0;,169.67:294.0;,,0.0,169.67;
93,2024-03-06 00:04:00,169.98,169.931,169.98,169.931,151136.0,25246208.0,1709654640,,,,,,,,,,,90.46854804300406,-5.381248276295452,0.354142857142859,7.363722818066261,82.12214235060264,0,0,100111.928,,,169.98:294.0;,91.14000000000067,
22,2024-03-06 22:53:00,168.97,169.2,169.2,168.97,218801.0,37030400.0,1709736780,1.0,,,,1.0,,,,,,-11.922413267914171,10.32124091353895,0.3942142857142861,3.467104397970033,-76.87830170077153,1,0,50096.808,168.97:296.0;,168.97:296.0;,,0.0,168.97;
30,2024-03-06 23:01:00,169.29,169.44,169.47,169.29,371077.0,62977024.0,1709737260,,,,,,,,,,,11.16318576564747,14.468369241408787,0.4587857142857164,3.7401599766047,48.93078305891592,0,0,100206.64799999999,,,169.29:296.0;,94.71999999999798,
6,2024-03-22 21:37:00,170.62,170.695,170.695,170.565,347179.0,59332672.0,1711114620,1.0,,,,,,,,,,36.43574344165208,13.329423611773532,0.3422142857142916,-11.390425125810252,-68.35181662955529,1,0,50214.98799999998,170.62:293.0;,170.62:293.0;,,0.0,170.62;
11,2024-03-22 21:42:00,170.281,170.14,170.31,170.14,475715.0,81067904.0,1711114920,,,,,,,,,,,7.75708121089049,13.503196604965126,0.35578571428572,-11.390425125810252,-76.37619617047832,0,0,100107.32099999998,,,170.281:293.0;,-99.3269999999996,
