,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
266,2024-02-14 02:57:00,144.485,144.52,144.52,144.445,31795,4599168.0,1707850620,1.0,,,,,,,,,,12.592442917940282,4.240860285532548,0.1520714285714299,16.701792087392306,-71.7990564435025,1,0,50008.189999999995,144.485:346.0;,144.485:346.0;,,0.0,144.485;
272,2024-02-14 03:03:00,144.434,144.42,144.487,144.415,23556,3405952.0,1707850980,,,,,,,,,,,5.818925599729354,1.7279497149618948,0.1431428571428585,11.084854760311202,-67.7481508141996,0,0,99982.35399999999,,,144.434:346.0;,-17.646000000005586,
288,2024-02-14 03:19:00,144.02,144.1,144.1,144.02,25172,3632384.0,1707851940,,,,,1.0,,,,,,0.966173369945043,-5.369483532115034,0.1592857142857155,11.084854760311202,-60.43092367882285,1,0,50007.41399999999,144.02:347.0;,144.02:347.0;,,0.0,144.02;
308,2024-02-14 03:39:00,144.425,144.465,144.465,144.425,18101,2622464.0,1707853140,,,,,,,,,,,89.0309041706752,-1.5900403806931038,0.172071428571428,5.747376917514828,82.51461681425887,0,0,100122.889,,,144.425:347.0;,140.5350000000004,
350,2024-02-14 04:21:00,143.6,143.575,143.61,143.575,54880,7894784.0,1707855660,,,,,,,,,1.0,,-8.426557370630128,-5.944395380345767,0.2188571428571423,-1.046820593956312,-76.42842599832545,1,0,50150.089,143.6:348.0;,143.6:348.0;,,0.0,143.6;
363,2024-02-14 04:34:00,143.79,143.905,143.905,143.79,52556,7570432.0,1707856440,,,,,,,,,,,31.594242468055064,-4.078246852642202,0.2151428571428571,-6.23429268342008,76.5443293340304,0,0,100189.00899999999,,,143.79:348.0;,66.11999999999921,
199,2024-02-17 01:50:00,140.295,140.335,140.342,140.291,81001,11380992.0,1708105800,,,,,1.0,,,,,,-8.927973038926275,0.8751372147446119,0.1803571428571493,11.277941302728706,-74.9308758350959,1,0,50103.693999999996,140.295:357.0;,140.295:357.0;,,0.0,140.295;
208,2024-02-17 01:59:00,140.375,140.403,140.42,140.375,66802,9400320.0,1708106340,,,,,,,,,,,20.533233637361636,0.7588180774787929,0.1892857142857187,11.277941302728706,65.63309948198177,0,0,100217.56899999999,,,140.375:357.0;,28.560000000004464,
193,2024-02-27 01:44:00,137.87,137.955,137.955,137.855,122560,16949248.0,1708969440,,,,,1.0,,,,,,-4.466460061345128,-12.026655910056412,0.189785714285713,9.80566020028104,-75.5160145380982,1,0,50170.758999999984,137.87:363.0;,137.87:363.0;,,0.0,137.87;
198,2024-02-27 01:49:00,137.89,137.91,137.93,137.89,90660,12548096.0,1708969740,,,,,,,,,,,3.054614665192865,-11.664054842331492,0.182785714285712,9.80566020028104,17.110482938059242,0,0,100224.82899999997,,,137.89:363.0;,7.259999999993397,
