,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
281,2024-01-03 03:12:00,184.185,184.105,184.2,184.105,190704.0,1704222720,,,,,,,,,1.0,,4.960337517913651,-2.091781170653846,0.2092857142857188,-10.795811519854766,-72.7647941633205,1,0,50085.865,184.185:271.0;,184.185:271.0;,,0.0,184.185;
299,2024-01-03 03:30:00,183.86,184.005,184.005,183.86,176824.0,1704223800,,,,,,,1.0,,,,2.4644118332573264,-4.037489045183662,0.2135000000000043,-13.50596374964158,-51.90653752226541,1,0,259.804999999993,184.185:271.0;183.86:271.0;,183.86:271.0;,,0.0,184.195;183.86;
386,2024-01-03 04:57:00,184.86,184.77,184.875,184.77,411168.0,1704229020,,,,,,,,,,,118.9622778172147,21.38998078952188,0.2645714285714332,-17.696822689558303,60.83629861553763,0,0,100453.925,,,184.86:271.0;184.86:271.0;,453.9250000000031,184.94;184.94;
20,2024-01-29 22:51:00,189.638,189.93,189.93,189.638,379397.0,1706539860,1.0,,,,,,,,,,2.261646570733028,-0.8015455816718671,0.4054285714285726,-12.60867665262839,-72.19837872742255,1,0,50389.493,189.638:264.0;,189.638:264.0;,,0.0,189.638;
352,2024-01-30 04:23:00,191.411,191.39,191.43,191.385,69842.0,1706559780,,1.0,,,,,,,,,97.7136116205513,111.89317327563124,0.1912857142857141,-5.103606435971884,51.50847088954526,0,1,75655.745,189.638:132.0;,,191.411:132;,234.0359999999995,191.545;
386,2024-01-30 04:57:00,191.18,191.17,191.215,191.17,260016.0,1706561820,,,,,,,,,,,19.239035776358094,98.82973093876332,0.2480714285714274,-1.7709652805036171,-66.9681916255165,0,0,100891.505,,,191.18:132.0;,203.5440000000002,191.64;
279,2024-01-31 03:10:00,187.21,187.095,187.24,187.095,105724.0,1706641800,,,,,1.0,,1.0,,,,-20.034790313622125,-1.5836967186630275,0.2144285714285721,7.643299991694384,-75.52727040559336,1,0,50532.015,187.21:269.0;,187.21:269.0;,,0.0,187.21;
386,2024-01-31 04:57:00,187.505,187.53,187.56,187.505,249008.0,1706648220,,,,,,,,,,,42.16619636048432,39.93349963179444,0.2108571428571468,4.959064923172853,-63.51446647824896,0,0,100970.86,,,187.505:269.0;,79.35499999999664,187.77;
337,2024-02-13 04:08:00,186.612,186.65,186.68,186.612,40488.0,1707768480,1.0,,,,1.0,,,,,,-0.9798883209255536,6.785919375396965,0.1644999999999978,10.182809237326396,-58.16471543063449,1,0,50585.62,186.612:270.0;,186.612:270.0;,,0.0,186.612;
386,2024-02-13 04:57:00,186.78,186.745,186.8,186.745,256556.0,1707771420,,,,,,,,,,,84.43415319894322,14.868232159326569,0.140357142857141,6.86239028465198,65.24452522490917,0,0,101016.22,,,186.78:270.0;,45.36000000000172,187.155;
7,2024-02-13 22:38:00,184.38,184.52,184.56,184.38,294513.0,1707835080,1.0,,,,,,,,,,7.262916510231179,13.99332350513837,0.343285714285709,0.65481207615953,-76.34221532719961,1,0,50680.48,184.38:273.0;,184.38:273.0;,,0.0,184.38;
205,2024-02-14 01:56:00,184.93,185.026,185.026,184.93,96478.0,1707846960,,,,,,,,,,,44.74551864677623,46.35607489579172,0.1854999999999924,0.3801892050292679,-70.77902515020298,0,0,101166.37,,,184.93:273.0;,150.1500000000031,
86,2024-02-14 23:57:00,183.135,183.03,183.135,183.02,111029.0,1707926220,1.0,,,,,,,,,,16.589547061492922,9.286304257946298,0.3517142857142862,8.64081395172456,-70.44436154316004,1,0,50621.11,183.135:276.0;,183.135:276.0;,,0.0,183.135;
213,2024-02-15 02:04:00,182.4,182.5,182.51,182.4,88218.0,1707933840,,,,,,,,,,,39.472539524146015,-0.9364894321963037,0.1776428571428567,1.6647325386459642,-37.19844355070981,0,0,100963.51000000001,,,182.4:276.0;,-202.85999999999592,
