,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
176,2024-01-31 01:27:00,173.56,173.32,173.772,173.32,450756,1706635620,,,,,,,1.0,,,,-20.673682056541608,18.528427002820607,0.6387142857142842,17.405262175828085,-78.59631934701301,1,0,50014.72,173.56:288.0;,173.56:288.0;,,0.0,173.56;
178,2024-01-31 01:29:00,173.704,173.87,173.87,173.635,293084,1706635740,,,,,1.0,,,,,,-18.714608044142395,18.528427002820607,0.6387142857142842,17.405262175828085,-78.10924139477176,1,0,161.67199999999866,173.56:288.0;173.704:287.0;,173.704:287.0;,,0.0,173.704;173.704;
260,2024-01-31 02:51:00,170.168,170.3,170.432,170.168,323856,1706640660,,,,,,,,,,,1.2978096086406126,-11.488201867241004,0.6832857142857165,3.4363040238959,-66.73566980843628,0,0,98008.272,,,170.168:288.0;170.168:287.0;,-1991.7279999999992,
264,2024-01-31 02:55:00,170.22,170.43,170.43,170.04,358208,1706640900,,,1.0,,,,,,,,4.563868913017743,-10.86616081377604,0.7042857142857132,3.4363040238959,-3.350646555155889,1,0,48133.812,170.22:293.0;,170.22:293.0;,,0.0,170.22;
386,2024-01-31 04:57:00,172.44,172.225,172.44,172.12,592344,1706648220,,,,,,,,,,,0.7812334575684616,34.63931056634677,0.5387142857142818,-1.5870367080060106,-54.39613572496468,0,0,98658.73199999999,,,172.44:293.0;,650.4599999999997,172.97;
138,2024-02-07 00:49:00,166.702,166.491,166.702,166.491,223932,1707238140,,,,,1.0,,,,,,-4.36814387423739,-9.716972341795824,0.4714285714285751,19.42282872591636,-76.9965275682219,1,0,49481.64199999999,166.702:295.0;,166.702:295.0;,,0.0,166.702;
386,2024-02-07 04:57:00,167.966,167.9,168.03,167.9,220600,1707253020,,,,,,,,,,,57.26031517412733,95.21212863072276,0.3584999999999984,-14.42530445747724,62.02851905913798,0,0,99031.612,,,167.966:295.0;,372.88000000000295,168.2;
148,2024-02-21 00:59:00,163.13,163.266,163.3,163.13,150272,1708448340,,,1.0,,,,,,,,1.7388757973056954,-3.875066832773875,0.5452142857142864,14.56042292838478,-75.85846342300681,1,0,49603.221999999994,163.13:303.0;,163.13:303.0;,,0.0,163.13;
342,2024-02-21 04:13:00,165.659,165.62,165.71,165.62,118980,1708459980,,1.0,,,,,,,,,90.56315014101634,117.930355405952,0.5165714285714225,-9.392186806441842,24.31522069841889,0,1,74783.38999999998,163.13:151.0;,,165.659:152;,384.40799999999945,165.73;
386,2024-02-21 04:57:00,165.535,165.51,165.668,165.51,247824,1708462620,,,,,,,,,,,75.78404024348941,119.696356915507,0.5085714285714269,-9.528108898694311,4.925396792264842,0,0,99779.17499999999,,,165.535:151.0;,363.1550000000002,166.14;
359,2024-03-12 03:30:00,197.24,197.46,197.46,197.24,106760,1710185400,,,,,1.0,,,,,,-14.1761472620058,10.301584913514652,0.5301428571428529,-20.939353054980018,-74.51612732506184,1,0,50074.694999999985,197.24:252.0;,197.24:252.0;,,0.0,197.24;
386,2024-03-12 03:57:00,197.99,197.91,198.121,197.91,198896,1710187020,,,,,,,,,,,81.49511686428188,18.80297094315277,0.6501428571428575,-20.939353054980018,32.44047343687603,0,0,99968.17499999999,,,197.99:252.0;,189.0,198.543;
9,2024-03-12 21:40:00,196.85,196.32,196.855,196.17,423109,1710250800,,,,,,,1.0,,1.0,,26.999784993527623,17.530564699024836,1.125785714285716,-3.918684973801661,-73.91257109907922,1,0,50165.12499999999,196.85:253.0;,196.85:253.0;,,0.0,196.85;
20,2024-03-12 21:51:00,195.78,196.43,196.43,195.64,467059,1710251460,,,,,1.0,,,,,,-2.029171721718825,15.007432581095776,1.3146428571428612,-3.918684973801661,-70.85860290641439,1,0,241.22499999999127,196.85:253.0;195.78:255.0;,195.78:255.0;,,0.0,196.85;195.78;
